EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,JobSatisfaction,WorkLifeBalance,PerformanceRating,EducationField
1,50,Male,Finance,Sales Executive,17072,10,6,6,9,Yes,4,4,1,Marketing
3,29,Male,IT,Manager,6091,4,2,6,11,No,1,2,3,Medical
4,42,Female,HR,Developer,17045,12,12,8,7,No,2,2,1,Marketing
6,44,Female,HR,Analyst,6498,18,8,2,10,No,1,1,4,Other
7,32,Male,R&D,Developer,17905,18,11,3,0,Yes,2,4,3,Medical
8,32,Male,Finance,Research Scientist,8506,15,7,9,12,No,4,3,4,Life Sciences
9,45,Male,HR,Sales Executive,5137,15,4,6,4,No,4,1,1,Medical
12,24,Female,HR,Research Scientist,17823,18,11,3,3,No,1,2,2,Human Resources
14,23,Male,R&D,Analyst,8460,13,5,2,2,No,2,3,3,Technical Degree
15,45,Male,R&D,Manager,7496,10,7,1,12,No,1,4,1,Marketing
16,51,Female,R&D,HR Specialist,9898,17,1,3,9,No,1,4,4,Other
17,59,Male,Sales,Manager,5546,19,5,7,9,No,3,2,2,Life Sciences
18,23,Male,R&D,Manager,7929,6,6,3,5,No,1,4,4,Medical
20,54,Male,HR,Sales Executive,10214,11,8,4,8,No,3,3,4,Medical
22,43,Female,R&D,Manager,5395,12,8,1,6,Yes,2,2,2,Human Resources
23,46,Female,IT,Developer,17874,19,13,7,8,Yes,1,2,4,Other
25,49,Female,HR,Sales Executive,11494,14,0,1,13,No,2,3,4,Medical
26,37,Male,R&D,HR Specialist,17537,19,12,4,5,No,4,4,4,Technical Degree
27,36,Male,IT,Analyst,15259,7,6,5,12,No,1,2,1,Marketing
28,24,Female,Sales,Sales Executive,18892,17,5,8,1,No,2,4,1,Human Resources
29,58,Female,R&D,Manager,3013,14,9,7,5,No,1,3,2,Human Resources
32,30,Female,HR,HR Specialist,7540,10,9,9,13,No,3,2,4,Life Sciences
34,25,Male,Finance,Research Scientist,5169,12,3,0,12,No,2,1,2,Other
36,35,Male,Finance,Analyst,13423,17,10,5,14,No,3,3,3,Marketing
38,47,Male,R&D,Research Scientist,11017,0,0,1,7,No,4,1,1,Technical Degree
39,23,Male,HR,Sales Executive,13910,11,6,9,10,No,4,2,1,Technical Degree
40,41,Female,IT,Manager,3180,4,4,1,5,No,4,2,4,Life Sciences
41,49,Male,Finance,HR Specialist,6464,15,4,7,7,No,3,3,3,Marketing
42,28,Female,Sales,Developer,14611,17,5,0,5,No,3,3,2,Life Sciences
44,56,Female,IT,Research Scientist,17806,14,1,6,13,No,4,1,4,Life Sciences
45,35,Female,R&D,Analyst,17065,10,10,0,7,No,3,3,4,Medical
48,25,Female,Sales,Developer,11898,12,2,1,14,No,2,1,3,Technical Degree
49,23,Female,HR,Manager,14409,12,10,0,2,No,2,4,3,Human Resources
51,25,Female,Finance,Sales Executive,16882,9,3,8,3,No,4,2,2,Medical
53,39,Female,Sales,Manager,18248,13,12,6,10,No,4,4,1,Life Sciences
54,47,Female,HR,Analyst,6389,16,12,3,6,No,4,1,4,Other
56,31,Male,IT,Analyst,6063,14,2,6,1,Yes,3,1,2,Technical Degree
58,35,Male,Finance,HR Specialist,13770,17,8,8,1,No,1,2,3,Human Resources
60,36,Male,HR,Analyst,14145,12,2,4,13,No,4,3,4,Life Sciences
61,29,Male,Sales,Developer,19922,2,2,4,8,No,3,2,1,Medical
63,44,Male,R&D,Research Scientist,16322,12,5,7,6,No,1,3,4,Marketing
65,37,Female,Finance,Developer,19398,15,0,2,4,No,2,2,4,Marketing
67,45,Male,HR,Developer,6135,7,4,0,11,No,2,3,4,Technical Degree
68,47,Female,HR,HR Specialist,5277,15,8,4,1,No,2,3,2,Technical Degree
70,50,Female,IT,Manager,4656,8,7,4,2,No,3,4,1,Marketing
71,36,Male,HR,Analyst,12439,12,5,6,11,No,4,3,4,Technical Degree
74,28,Male,Finance,Developer,18413,8,2,7,11,No,4,2,3,Technical Degree
79,45,Male,HR,Manager,5754,14,14,7,8,Yes,3,4,4,Human Resources
80,32,Female,Sales,Research Scientist,11101,6,0,0,1,No,3,4,1,Marketing
81,38,Male,R&D,Sales Executive,11067,12,8,9,12,Yes,1,4,2,Medical
82,29,Female,Sales,Analyst,8208,15,7,3,8,No,4,2,2,Human Resources
83,56,Male,Finance,Developer,17177,12,7,0,4,Yes,4,2,3,Medical
84,56,Male,Sales,Research Scientist,17928,11,5,4,7,No,2,2,3,Human Resources
85,54,Female,Sales,HR Specialist,13425,16,8,1,0,Yes,4,1,3,Technical Degree
88,28,Male,R&D,Analyst,17480,12,1,3,11,Yes,1,3,1,Medical
89,30,Male,IT,Research Scientist,15289,9,5,1,3,Yes,2,1,1,Life Sciences
91,33,Female,Sales,Manager,5803,12,10,2,11,Yes,3,1,4,Other
92,55,Male,IT,Analyst,9209,18,14,1,13,No,3,3,3,Other
93,54,Female,Finance,Sales Executive,5293,16,7,6,0,No,1,1,2,Technical Degree
94,44,Male,HR,HR Specialist,18789,19,13,0,11,No,2,3,4,Other
97,56,Female,HR,Sales Executive,18014,16,5,3,3,No,4,2,4,Human Resources
99,48,Female,Finance,HR Specialist,8829,17,13,2,10,No,2,3,3,Human Resources
100,56,Female,Finance,Sales Executive,13709,19,10,2,5,Yes,2,1,4,Technical Degree
103,58,Female,IT,Analyst,10793,15,4,6,1,No,4,1,1,Medical
104,35,Male,IT,Sales Executive,5597,14,7,2,3,No,1,1,2,Human Resources
105,24,Male,R&D,Developer,18973,17,9,5,14,No,4,1,2,Medical
106,22,Female,Finance,HR Specialist,16360,18,1,3,4,Yes,4,1,2,Medical
108,47,Female,Sales,Developer,6320,8,4,4,13,No,4,3,4,Human Resources
109,35,Male,IT,HR Specialist,10239,15,0,7,14,No,2,1,4,Technical Degree
110,48,Female,HR,Analyst,17782,8,4,1,8,No,1,1,1,Technical Degree
111,30,Male,IT,Developer,9649,19,6,9,6,No,3,2,1,Medical
112,36,Male,Sales,HR Specialist,17020,16,0,4,7,No,3,1,4,Other
114,47,Male,Finance,HR Specialist,3869,14,9,8,10,No,3,4,4,Marketing
115,34,Female,Finance,Sales Executive,9442,10,2,1,9,No,3,1,3,Marketing
116,53,Male,IT,Manager,12275,13,5,0,7,Yes,1,1,4,Other
117,53,Male,HR,Developer,3973,16,11,3,12,No,3,3,1,Other
118,25,Female,HR,Research Scientist,12994,12,0,6,10,Yes,4,3,3,Medical
119,51,Male,R&D,Analyst,18394,8,2,1,4,No,1,3,3,Marketing
120,58,Female,Sales,Manager,17078,15,7,9,2,No,2,2,1,Marketing
122,36,Female,IT,Manager,6443,13,6,0,6,Yes,4,3,3,Technical Degree
123,50,Male,HR,HR Specialist,15126,14,3,0,13,No,4,3,1,Medical
124,57,Male,Finance,Sales Executive,8684,6,6,7,0,No,2,2,2,Medical
125,34,Female,IT,Research Scientist,16595,10,6,4,2,No,4,2,3,Human Resources
127,28,Male,IT,Analyst,17810,6,6,7,12,Yes,2,1,4,Medical
130,23,Male,Sales,HR Specialist,16518,19,13,5,9,Yes,1,4,4,Life Sciences
131,27,Female,Finance,Sales Executive,15704,18,13,1,9,No,2,4,2,Technical Degree
132,49,Female,Sales,Sales Executive,3438,12,3,4,5,No,3,2,3,Human Resources
133,49,Female,Finance,Developer,3164,18,3,9,3,Yes,3,3,4,Other
134,41,Female,HR,HR Specialist,8678,15,8,2,6,No,1,1,4,Technical Degree
138,46,Male,HR,Sales Executive,15406,11,3,9,6,Yes,4,1,4,Life Sciences
139,54,Female,IT,Manager,8756,5,5,2,1,No,4,1,1,Marketing
141,48,Male,HR,Research Scientist,13216,15,12,3,4,No,3,1,1,Marketing
143,24,Male,Sales,Manager,3193,11,11,0,8,No,2,2,4,Technical Degree
146,48,Female,IT,Research Scientist,12882,16,5,0,3,Yes,3,2,1,Life Sciences
147,30,Female,Sales,Sales Executive,18246,11,10,5,8,Yes,3,4,4,Medical
148,58,Female,Sales,Analyst,9283,12,4,6,0,Yes,4,1,2,Marketing
149,54,Male,HR,Research Scientist,14360,16,11,0,3,Yes,1,4,2,Technical Degree
150,45,Male,IT,Research Scientist,18859,19,6,9,10,Yes,4,3,3,Other
151,36,Male,Finance,Analyst,10599,14,1,0,4,Yes,4,3,1,Human Resources
152,53,Male,R&D,Developer,13428,8,7,9,3,Yes,3,3,2,Other
155,33,Female,IT,Sales Executive,8053,16,5,0,8,Yes,3,1,4,Marketing
156,23,Male,HR,HR Specialist,18233,11,2,7,0,No,2,3,1,Marketing
157,24,Male,R&D,Sales Executive,15124,8,8,2,2,No,4,2,1,Marketing
159,38,Female,Finance,Manager,17716,15,1,0,11,No,4,2,4,Medical
160,23,Female,HR,Manager,9865,15,3,6,6,No,3,4,4,Human Resources
162,49,Female,Sales,Manager,11324,10,5,2,10,No,3,1,1,Medical
165,53,Male,Finance,HR Specialist,7665,13,8,8,4,No,4,1,4,Marketing
167,22,Male,IT,Research Scientist,14731,5,5,1,4,No,2,3,1,Medical
168,40,Male,Finance,Developer,14180,6,4,3,9,No,2,4,3,Life Sciences
171,53,Female,Finance,Sales Executive,3311,14,11,9,11,No,2,3,4,Life Sciences
173,53,Male,R&D,HR Specialist,18567,12,3,1,4,No,3,1,3,Life Sciences
174,25,Male,R&D,Developer,18980,18,9,4,12,Yes,4,3,3,Marketing
175,32,Male,HR,HR Specialist,19785,18,10,6,11,No,4,4,1,Marketing
176,38,Male,Finance,HR Specialist,3121,14,3,8,10,No,3,1,4,Other
179,26,Female,HR,Research Scientist,9934,17,0,5,13,No,2,1,1,Life Sciences
180,55,Male,Finance,Manager,12251,16,1,8,2,No,2,2,4,Medical
181,27,Female,IT,Analyst,15359,7,2,6,0,No,2,3,4,Medical
182,43,Male,Finance,HR Specialist,15855,10,6,2,14,No,1,4,3,Other
183,32,Male,HR,Analyst,12201,19,12,0,6,Yes,3,1,4,Other
185,54,Female,IT,Research Scientist,5275,5,0,8,1,No,2,1,4,Marketing
187,27,Male,IT,Research Scientist,5715,5,2,5,6,Yes,1,2,2,Human Resources
189,50,Female,IT,Developer,14924,9,5,7,14,No,2,4,4,Human Resources
190,24,Male,Finance,Analyst,8066,9,1,2,13,No,1,1,1,Life Sciences
191,41,Female,IT,Analyst,3489,8,3,5,2,No,2,4,2,Medical
192,57,Male,IT,Developer,9374,2,0,6,2,No,2,2,1,Human Resources
196,40,Female,R&D,Analyst,14883,8,1,5,7,No,3,4,1,Technical Degree
